id,name,account_id,project_id,environment_id,created_at,updated_at,layer,source,modulo,subject_area,model,execute_steps,settings
669867,AGOS_L1_O_SDS_CCSFFSOG [[AGOS_L1_O_SDS_CCSFFSOG]],702,12990,58598,2026-06-09 14:15:55.414942+00:00,2026-06-30 09:37:57.746764+00:00,L1,OCS,SDS,,CCSFFSOG,"[""dbt build --select +ccsffsog""]","{""threads"": 2, ""target_name"": ""default""}"
669868,AGOS_L2_SWORD_LOAN_ARREARS [[AGOS_L2_SWORD_LOAN_ARREARS]],702,12990,58598,2026-06-09 14:15:55.631458+00:00,2026-06-30 09:36:32.861938+00:00,L2,,,SWORD,LOAN_ARREARS,"[""dbt build --select loan_arrears""]","{""threads"": 2, ""target_name"": ""default""}"
669869,AGOS_L1_O_CMN_CNTCFEMLO [[AGOS_L1_O_CMN_CNTCFEMLO]],702,12990,58598,2026-06-09 14:15:55.794130+00:00,2026-07-24 12:56:50.969267+00:00,L1,OCS,XCM,,CNTCFEMLO,"[""dbt build --select +cntcfemlo""]","{""threads"": 2, ""target_name"": ""default""}"
669870,AGOS_L1_O_INT_CCANAICO [[AGOS_L1_O_INT_CCANAICO]],702,12990,58598,2026-06-09 14:15:55.986722+00:00,2026-06-30 09:37:14.266844+00:00,L1,OCS,INT,,CCANAICO,"[""dbt build --select +ccanaico""]","{""threads"": 2, ""target_name"": ""default""}"
669871,AGOS_L1_O_FMP_OXCTFPASD [[AGOS_L1_O_FMP_OXCTFPASD]],702,12990,58598,2026-06-09 14:15:56.242124+00:00,2026-07-24 12:59:14.786148+00:00,L1,OCS,XFM,,OXCTFPASD,"[""dbt build --select +oxctfpasd""]","{""threads"": 2, ""target_name"": ""default""}"
669872,AGOS_L1_O_CMN_CNTLFLOGPM [[AGOS_L1_O_CMN_CNTLFLOGPM]],702,12990,58598,2026-06-09 14:15:56.474039+00:00,2026-07-24 12:55:31.353316+00:00,L1,OCS,XCM,,CNTLFLOGPM,"[""dbt build --select +cntlflogpm""]","{""threads"": 2, ""target_name"": ""default""}"
669873,AGOS_L1_O_CNT_CCCGOPED [[AGOS_L1_O_CNT_CCCGOPED]],702,12990,58598,2026-06-09 14:15:56.691398+00:00,2026-07-24 12:57:05.397923+00:00,L1,OCS,XCN,,CCCGOPED,"[""dbt build --select +cccgoped""]","{""threads"": 2, ""target_name"": ""default""}"
669874,AGOS_L1_O_FMP_CCPSVCOL [[AGOS_L1_O_FMP_CCPSVCOL]],702,12990,58598,2026-06-09 14:15:56.912032+00:00,2026-07-24 12:59:50.610634+00:00,L1,OCS,XFM,,CCPSVCOL,"[""dbt build --select +ccpsvcol""]","{""threads"": 2, ""target_name"": ""default""}"
669875,AGOS_L1_O_CMN_OXSOFDOL [[AGOS_L1_O_CMN_OXSOFDOL]],702,12990,58598,2026-06-09 14:15:57.151728+00:00,2026-06-30 09:37:59.714523+00:00,L1,OCS,CMN,,OXSOFDOL,"[""dbt build --select +oxsofdol""]","{""threads"": 2, ""target_name"": ""default""}"
669876,AGOS_L1_O_FMP_OXCSFHPR [[AGOS_L1_O_FMP_OXCSFHPR]],702,12990,58598,2026-06-09 14:15:57.378391+00:00,2026-07-24 12:59:09.110316+00:00,L1,OCS,XFM,,OXCSFHPR,"[""dbt build --select +oxcsfhpr""]","{""threads"": 2, ""target_name"": ""default""}"
669877,AGOS_L1_O_CAR_CACMFTBBL [[AGOS_L1_O_CAR_CACMFTBBL]],702,12990,58598,2026-06-09 14:15:57.659808+00:00,2026-07-24 12:56:13.964289+00:00,L1,OCS,XCA,,CACMFTBBL,"[""dbt build --select +cacmftbbl""]","{""threads"": 2, ""target_name"": ""default""}"
669878,AGOS_L1_O_CMN_OXSOFTACD [[AGOS_L1_O_CMN_OXSOFTACD]],702,12990,58598,2026-06-09 14:15:57.903119+00:00,2026-07-24 12:56:39.376386+00:00,L1,OCS,XCM,,OXSOFTACD,"[""dbt build --select +oxsoftacd""]","{""threads"": 2, ""target_name"": ""default""}"
669879,AGOS_L1_O_CON_PLTBFSTAT [[AGOS_L1_O_CON_PLTBFSTAT]],702,12990,58598,2026-06-09 14:15:58.363025+00:00,2026-07-24 12:55:19.338713+00:00,L1,OCS,XCO,,PLTBFSTAT,"[""dbt build --select +pltbfstat""]","{""threads"": 2, ""target_name"": ""default""}"
669880,AGOS_L1_O_CON_PLSTORCA [[AGOS_L1_O_CON_PLSTORCA]],702,12990,58598,2026-06-09 14:15:58.577695+00:00,2026-07-24 12:58:28.361288+00:00,L1,OCS,XCO,,PLSTORCA,"[""dbt build --select +plstorca""]","{""threads"": 2, ""target_name"": ""default""}"
669881,AGOS_L1_O_SDS_OXDRFNDODC [[AGOS_L1_O_SDS_OXDRFNDODC]],702,12990,58598,2026-06-09 14:15:58.762522+00:00,2026-07-24 12:56:56.659739+00:00,L1,OCS,XSD,,OXDRFNDODC,"[""dbt build --select +oxdrfndodc""]","{""threads"": 2, ""target_name"": ""default""}"
669882,AGOS_L1_O_WFL_WFTBFSOW [[AGOS_L1_O_WFL_WFTBFSOW]],702,12990,58598,2026-06-09 14:15:59.023947+00:00,2026-07-24 12:56:52.837487+00:00,L1,OCS,XWF,,WFTBFSOW,"[""dbt build --select +wftbfsow""]","{""threads"": 2, ""target_name"": ""default""}"
